id,class
2208,EI
2209,EI
2210,EI
2211,N
2212,EI
2213,EI
2214,EI
2215,EI
2216,N
2217,N
2218,EI
2219,EI
2220,EI
2221,N
2222,N
2223,N
2224,N
2225,EI
2226,N
2227,N
2228,N
2229,N
2230,N
2231,EI
2232,N
2233,N
2234,EI
2235,EI
2236,EI
2237,N
2238,N
2239,EI
2240,EI
2241,N
2242,EI
2243,EI
2244,EI
2245,EI
2246,EI
2247,EI
2248,EI
2249,N
2250,N
2251,N
2252,EI
2253,N
2254,EI
2255,EI
2256,N
2257,N
2258,IE
2259,N
2260,EI
2261,EI
2262,N
2263,N
2264,EI
2265,EI
2266,EI
2267,N
2268,N
2269,N
2270,EI
2271,EI
2272,EI
2273,N
2274,N
2275,N
2276,EI
2277,EI
2278,EI
2279,EI
2280,N
2281,EI
2282,N
2283,N
2284,EI
2285,EI
2286,N
2287,EI
2288,N
2289,EI
2290,EI
2291,EI
2292,N
2293,EI
2294,EI
2295,N
2296,EI
2297,N
2298,N
2299,N
2300,EI
2301,N
2302,N
2303,EI
2304,N
2305,N
2306,N
2307,EI
2308,N
2309,EI
2310,IE
2311,IE
2312,EI
2313,N
2314,N
2315,EI
2316,EI
2317,EI
2318,EI
2319,N
2320,N
2321,N
2322,EI
2323,N
2324,N
2325,EI
2326,EI
2327,N
2328,N
2329,N
2330,N
2331,EI
2332,N
2333,N
2334,EI
2335,N
2336,N
2337,N
2338,EI
2339,N
2340,N
2341,EI
2342,EI
2343,EI
2344,EI
2345,EI
2346,N
2347,N
2348,N
2349,IE
2350,IE
2351,IE
2352,EI
2353,EI
2354,N
2355,EI
2356,N
2357,N
2358,N
2359,N
2360,EI
2361,N
2362,EI
2363,N
2364,EI
2365,N
2366,N
2367,EI
2368,EI
2369,EI
2370,EI
2371,EI
2372,N
2373,N
2374,N
2375,EI
2376,N
2377,N
2378,EI
2379,EI
2380,EI
2381,N
2382,EI
2383,N
2384,EI
2385,EI
2386,EI
2387,N
2388,N
2389,EI
2390,EI
2391,EI
2392,EI
2393,EI
2394,N
2395,N
2396,N
2397,EI
2398,N
2399,EI
2400,N
2401,N
2402,N
2403,N
2404,EI
2405,N
2406,EI
2407,N
2408,N
2409,N
2410,EI
2411,EI
2412,EI
2413,N
2414,EI
2415,EI
2416,EI
2417,IE
2418,EI
2419,N
2420,EI
2421,EI
2422,N
2423,EI
2424,EI
2425,EI
2426,N
2427,EI
2428,EI
2429,N
2430,EI
2431,EI
2432,N
2433,N
2434,N
2435,N
2436,EI
2437,N
2438,EI
2439,EI
2440,N
2441,EI
2442,N
2443,N
2444,EI
2445,EI
2446,EI
2447,N
2448,EI
2449,N
2450,N
2451,N
2452,N
2453,N
2454,N
2455,N
2456,EI
2457,EI
2458,N
2459,N
2460,EI
2461,IE
2462,EI
2463,N
2464,IE
2465,EI
2466,N
2467,EI
2468,N
2469,EI
2470,EI
2471,N
2472,N
2473,N
2474,N
2475,N
2476,N
2477,N
2478,N
2479,N
2480,N
2481,N
2482,EI
2483,N
2484,N
2485,N
2486,N
2487,N
2488,N
2489,IE
2490,N
2491,EI
2492,N
2493,EI
2494,N
2495,N
2496,N
2497,N
2498,N
2499,EI
2500,EI
2501,EI
2502,N
2503,N
2504,EI
2505,IE
2506,N
2507,N
2508,EI
2509,N
2510,N
2511,N
2512,N
2513,EI
2514,EI
2515,N
2516,N
2517,N
2518,IE
2519,IE
2520,IE
2521,IE
2522,N
2523,N
2524,N
2525,EI
2526,N
2527,EI
2528,N
2529,N
2530,EI
2531,EI
2532,EI
2533,EI
2534,N
2535,EI
2536,EI
2537,EI
2538,EI
2539,N
2540,N
2541,EI
2542,EI
2543,N
2544,N
2545,N
2546,EI
2547,EI
2548,IE
2549,EI
2550,N
2551,EI
2552,N
2553,EI
2554,N
2555,N
2556,N
2557,N
2558,N
2559,N
2560,EI
2561,N
2562,N
2563,EI
2564,N
2565,EI
2566,N
2567,N
2568,N
2569,N
2570,N
2571,N
2572,N
2573,EI
2574,N
2575,N
2576,N
2577,N
2578,N
2579,EI
2580,EI
2581,N
2582,EI
2583,EI
2584,EI
2585,N
2586,EI
2587,N
2588,EI
2589,N
2590,N
2591,N
2592,N
2593,EI
2594,N
2595,IE
2596,EI
2597,EI
2598,EI
2599,EI
2600,N
2601,N
2602,N
2603,N
2604,N
2605,N
2606,EI
2607,N
2608,EI
2609,EI
2610,N
2611,N
2612,N
2613,N
2614,N
2615,N
2616,N
2617,EI
2618,EI
2619,N
2620,N
2621,EI
2622,EI
2623,EI
2624,EI
2625,EI
2626,EI
2627,EI
2628,EI
2629,EI
2630,EI
2631,EI
2632,EI
2633,EI
2634,N
2635,N
2636,N
2637,EI
2638,EI
2639,N
2640,EI
2641,EI
2642,EI
2643,EI
2644,EI
2645,EI
2646,N
2647,N
2648,EI
2649,EI
2650,EI
2651,N
2652,EI
2653,N
2654,N
2655,N
2656,N
2657,N
2658,N
2659,N
2660,N
2661,N
2662,N
2663,N
2664,N
2665,EI
2666,EI
2667,IE
2668,N
2669,EI
2670,EI
2671,EI
2672,EI
2673,EI
2674,EI
2675,N
2676,EI
2677,EI
2678,N
2679,N
2680,N
2681,N
2682,N
2683,EI
2684,EI
2685,EI
2686,N
2687,EI
2688,N
2689,N
2690,N
2691,EI
2692,N
2693,EI
2694,EI
2695,N
2696,EI
2697,EI
2698,N
2699,N
2700,EI
2701,N
2702,N
2703,N
2704,EI
2705,EI
2706,EI
2707,N
2708,N
2709,EI
2710,N
2711,N
2712,EI
2713,EI
2714,EI
2715,N
2716,N
2717,N
2718,N
2719,IE
2720,N
2721,N
2722,N
2723,EI
2724,N
2725,N
2726,N
2727,EI
2728,N
2729,EI
2730,EI
2731,N
2732,EI
2733,EI
2734,EI
2735,EI
2736,EI
2737,EI
2738,EI
2739,EI
2740,EI
2741,EI
2742,EI
2743,EI
2744,EI
2745,N
2746,N
2747,N
2748,EI
2749,EI
2750,EI
2751,N
2752,EI
2753,EI
2754,N
2755,EI
2756,EI
2757,EI
2758,EI
2759,EI
2760,N
2761,N
2762,EI
2763,N
2764,N
2765,EI
2766,N
2767,IE
2768,IE
2769,IE
2770,IE
2771,N
2772,N
2773,EI
2774,EI
2775,EI
2776,EI
2777,N
2778,EI
2779,EI
2780,EI
2781,EI
2782,EI
2783,N
2784,N
2785,N
2786,EI
2787,EI
2788,N
2789,N
2790,EI
2791,EI
2792,N
2793,EI
2794,N
2795,EI
2796,N
2797,N
2798,N
2799,EI
2800,N
2801,N
2802,N
2803,EI
2804,N
2805,N
2806,N
2807,EI
2808,EI
2809,EI
2810,EI
2811,N
2812,EI
2813,EI
2814,EI
2815,EI
2816,N
2817,N
2818,N
2819,N
2820,EI
2821,EI
2822,N
2823,N
2824,EI
2825,EI
2826,N
2827,IE
2828,EI
2829,N
2830,N
2831,EI
2832,N
2833,N
2834,N
2835,N
2836,N
2837,EI
2838,EI
2839,EI
2840,N
2841,N
2842,N
2843,N
2844,N
2845,N
2846,EI
2847,N
2848,EI
2849,N
2850,N
2851,EI
2852,EI
2853,N
2854,EI
2855,EI
2856,N
2857,EI
2858,N
2859,EI
2860,EI
2861,N
2862,EI
2863,EI
2864,N
2865,N
2866,EI
2867,N
2868,EI
2869,N
2870,EI
2871,N
2872,EI
2873,EI
2874,EI
2875,N
2876,EI
2877,N
2878,IE
2879,N
2880,EI
2881,IE
2882,EI
2883,EI
2884,N
2885,EI
2886,N
2887,EI
2888,N
2889,EI
2890,N
2891,N
2892,N
2893,EI
2894,EI
2895,N
2896,N
2897,N
2898,N
2899,N
2900,N
2901,N
2902,N
2903,EI
2904,N
2905,N
2906,N
2907,N
2908,N
2909,N
2910,N
2911,EI
2912,N
2913,N
2914,EI
2915,N
2916,EI
2917,N
2918,N
2919,EI
2920,EI
2921,EI
2922,EI
2923,EI
2924,EI
2925,EI
2926,EI
2927,EI
2928,N
2929,EI
2930,N
2931,N
2932,N
2933,N
2934,EI
2935,EI
2936,EI
2937,N
2938,EI
2939,EI
2940,EI
2941,EI
2942,EI
2943,N
2944,N
2945,N
2946,N
2947,N
2948,N
2949,EI
2950,EI
2951,EI
2952,N
2953,EI
2954,N
2955,N
2956,EI
2957,EI
2958,N
2959,EI
2960,N
2961,EI
2962,N
2963,N
2964,N
2965,N
2966,EI
2967,N
2968,N
2969,N
2970,EI
2971,N
2972,N
2973,N
2974,N
2975,N
2976,N
2977,N
2978,N
2979,N
2980,N
2981,N
2982,EI
2983,EI
2984,N
2985,N
2986,EI
2987,N
2988,N
2989,N
2990,N
2991,N
2992,N
2993,EI
2994,EI
2995,EI
2996,EI
2997,N
2998,N
2999,N
3000,N
3001,EI
3002,N
3003,N
3004,IE
3005,EI
3006,EI
3007,EI
3008,EI
3009,N
3010,EI
3011,N
3012,N
3013,N
3014,N
3015,IE
3016,N
3017,N
3018,EI
3019,EI
3020,N
3021,N
3022,N
3023,N
3024,N
3025,N
3026,N
3027,EI
3028,N
3029,N
3030,N
3031,N
3032,EI
3033,N
3034,N
3035,N
3036,EI
3037,IE
3038,N
3039,N
3040,EI
3041,N
3042,EI
3043,EI
3044,N
3045,EI
3046,EI
3047,N
3048,N
3049,EI
3050,N
3051,N
3052,EI
3053,EI
3054,EI
3055,EI
3056,EI
3057,EI
3058,N
3059,N
3060,N
3061,N
3062,EI
3063,EI
3064,EI
3065,EI
3066,N
3067,EI
3068,EI
3069,EI
3070,EI
3071,N
3072,EI
3073,IE
3074,EI
3075,N
3076,EI
3077,EI
3078,N
3079,N
3080,EI
3081,EI
3082,EI
3083,EI
3084,N
3085,EI
3086,N
3087,N
3088,EI
3089,N
3090,N
3091,EI
3092,N
3093,EI
3094,N
3095,EI
3096,N
3097,EI
3098,EI
3099,EI
3100,N
3101,N
3102,EI
3103,N
3104,N
3105,N
3106,N
3107,N
3108,EI
3109,N
3110,N
3111,EI
3112,EI
3113,N
3114,N
3115,EI
3116,EI
3117,EI
3118,N
3119,EI
3120,EI
3121,EI
3122,EI
3123,EI
3124,EI
3125,N
3126,EI
3127,EI
3128,N
3129,N
3130,N
3131,N
3132,EI
3133,N
3134,N
3135,EI
3136,EI
3137,N
3138,EI
3139,N
3140,N
3141,EI
3142,N
3143,IE
3144,EI
3145,N
3146,EI
3147,EI
3148,N
3149,N
3150,EI
3151,EI
3152,EI
3153,EI
3154,N
3155,N
3156,N
3157,N
3158,EI
3159,EI
3160,EI
3161,EI
3162,EI
3163,N
3164,EI
3165,EI
3166,EI
3167,IE
3168,EI
3169,N
3170,N
3171,N
3172,N
3173,N
3174,N
3175,EI
3176,EI
3177,EI
3178,EI
3179,EI
3180,EI
3181,N
3182,EI
3183,EI
3184,EI
3185,N
3186,EI
3187,N
3188,N
3189,N
3190,N
