id,class
2737,EI
2738,N
2739,EI
2740,EI
2741,EI
2742,N
2743,N
2744,EI
2745,N
2746,N
2747,N
2748,EI
2749,EI
2750,N
2751,EI
2752,N
2753,EI
2754,EI
2755,N
2756,N
2757,N
2758,N
2759,N
2760,N
2761,N
2762,N
2763,N
2764,EI
2765,EI
2766,EI
2767,IE
2768,IE
2769,IE
2770,IE
2771,EI
2772,N
2773,EI
2774,N
2775,N
2776,N
2777,EI
2778,EI
2779,EI
2780,N
2781,N
2782,N
2783,N
2784,EI
2785,N
2786,N
2787,EI
2788,N
2789,N
2790,EI
2791,EI
2792,N
2793,EI
2794,N
2795,IE
2796,IE
2797,N
2798,N
2799,EI
2800,N
2801,N
2802,N
2803,N
2804,EI
2805,EI
2806,EI
2807,EI
2808,EI
2809,EI
2810,EI
2811,N
2812,N
2813,EI
2814,N
2815,N
2816,N
2817,N
2818,N
2819,EI
2820,EI
2821,EI
2822,N
2823,N
2824,N
2825,EI
2826,N
2827,N
2828,N
2829,N
2830,N
2831,N
2832,EI
2833,EI
2834,EI
2835,N
2836,N
2837,N
2838,N
2839,EI
2840,N
2841,EI
2842,N
2843,N
2844,EI
2845,N
2846,N
2847,IE
2848,N
2849,EI
2850,EI
2851,EI
2852,EI
2853,IE
2854,IE
2855,IE
2856,N
2857,IE
2858,N
2859,IE
2860,N
2861,N
2862,N
2863,EI
2864,N
2865,EI
2866,IE
2867,N
2868,N
2869,N
2870,IE
2871,EI
2872,N
2873,N
2874,N
2875,EI
2876,EI
2877,N
2878,N
2879,N
2880,N
2881,N
2882,IE
2883,IE
2884,N
2885,EI
2886,EI
2887,EI
2888,N
2889,EI
2890,N
2891,N
2892,N
2893,EI
2894,N
2895,N
2896,EI
2897,N
2898,EI
2899,N
2900,N
2901,N
2902,EI
2903,EI
2904,N
2905,EI
2906,N
2907,EI
2908,EI
2909,EI
2910,EI
2911,EI
2912,N
2913,EI
2914,EI
2915,N
2916,EI
2917,EI
2918,EI
2919,N
2920,EI
2921,EI
2922,EI
2923,EI
2924,EI
2925,N
2926,N
2927,IE
2928,N
2929,N
2930,N
2931,N
2932,N
2933,N
2934,N
2935,EI
2936,EI
2937,N
2938,N
2939,EI
2940,EI
2941,IE
2942,N
2943,EI
2944,EI
2945,N
2946,N
2947,N
2948,N
2949,EI
2950,EI
2951,N
2952,N
2953,EI
2954,N
2955,N
2956,EI
2957,N
2958,EI
2959,N
2960,N
2961,EI
2962,N
2963,EI
2964,N
2965,N
2966,N
2967,N
2968,N
2969,EI
2970,IE
2971,EI
2972,N
2973,N
2974,EI
2975,N
2976,N
2977,N
2978,N
2979,N
2980,N
2981,N
2982,EI
2983,EI
2984,N
2985,N
2986,EI
2987,N
2988,N
2989,EI
2990,N
2991,N
2992,N
2993,N
2994,N
2995,N
2996,N
2997,N
2998,N
2999,N
3000,EI
3001,N
3002,N
3003,N
3004,IE
3005,N
3006,N
3007,N
3008,N
3009,N
3010,N
3011,N
3012,EI
3013,N
3014,EI
3015,IE
3016,N
3017,N
3018,EI
3019,EI
3020,EI
3021,N
3022,N
3023,N
3024,N
3025,N
3026,N
3027,EI
3028,N
3029,N
3030,EI
3031,EI
3032,N
3033,N
3034,N
3035,EI
3036,EI
3037,IE
3038,N
3039,N
3040,N
3041,IE
3042,EI
3043,N
3044,N
3045,EI
3046,EI
3047,EI
3048,N
3049,N
3050,N
3051,N
3052,EI
3053,N
3054,EI
3055,N
3056,N
3057,EI
3058,N
3059,IE
3060,N
3061,EI
3062,N
3063,EI
3064,N
3065,N
3066,N
3067,EI
3068,N
3069,N
3070,N
3071,N
3072,N
3073,N
3074,EI
3075,EI
3076,N
3077,N
3078,N
3079,EI
3080,EI
3081,EI
3082,N
3083,N
3084,N
3085,EI
3086,N
3087,N
3088,N
3089,N
3090,IE
3091,N
3092,N
3093,N
3094,EI
3095,N
3096,EI
3097,EI
3098,N
3099,N
3100,N
3101,N
3102,N
3103,N
3104,EI
3105,EI
3106,N
3107,N
3108,N
3109,EI
3110,N
3111,N
3112,N
3113,EI
3114,N
3115,N
3116,N
3117,N
3118,N
3119,EI
3120,EI
3121,IE
3122,IE
3123,N
3124,EI
3125,N
3126,N
3127,IE
3128,N
3129,EI
3130,N
3131,N
3132,N
3133,N
3134,N
3135,N
3136,N
3137,EI
3138,N
3139,N
3140,IE
3141,N
3142,N
3143,IE
3144,N
3145,N
3146,N
3147,EI
3148,EI
3149,IE
3150,N
3151,N
3152,IE
3153,EI
3154,N
3155,EI
3156,EI
3157,N
3158,EI
3159,EI
3160,N
3161,N
3162,N
3163,N
3164,EI
3165,EI
3166,EI
3167,IE
3168,EI
3169,N
3170,EI
3171,N
3172,IE
3173,N
3174,EI
3175,IE
3176,IE
3177,EI
3178,N
3179,EI
3180,N
3181,N
3182,EI
3183,IE
3184,EI
3185,N
3186,N
3187,N
3188,N
3189,N
3190,EI
